Inference for Bugs model at "ORL.txt", fit using jags,
 3 chains, each with 5000 iterations (first 1000 discarded)
 n.sims = 12000 iterations saved. Running time = secs
         mu.vect sd.vect    2.5%     25%     50%     75%   97.5%  Rhat n.eff
p[36,2]    0.327   0.051   0.232   0.291   0.326   0.363   0.425 1.001  3400
p[37,2]    0.331   0.056   0.231   0.290   0.327   0.370   0.447 1.002  2400
p[38,2]    0.346   0.065   0.241   0.300   0.337   0.383   0.499 1.002  2200
p[39,2]    0.342   0.068   0.235   0.295   0.333   0.380   0.505 1.002  2400
p[40,2]    0.148   0.042   0.079   0.117   0.143   0.173   0.243 1.001  3700
p[41,2]    0.144   0.041   0.076   0.115   0.141   0.170   0.233 1.001  4400
p[42,2]    0.265   0.036   0.194   0.240   0.265   0.291   0.331 1.001 11000
p[43,2]    0.349   0.049   0.252   0.313   0.352   0.387   0.433 1.002  2700
p[44,2]    0.167   0.044   0.091   0.135   0.164   0.195   0.261 1.002  2800
p[45,2]    0.301   0.044   0.215   0.272   0.303   0.331   0.385 1.001  9500
p[46,2]    0.170   0.046   0.090   0.137   0.166   0.199   0.270 1.002  3000
p[47,2]    0.298   0.052   0.201   0.262   0.297   0.332   0.403 1.001 12000
p[48,2]    0.339   0.052   0.240   0.302   0.339   0.374   0.442 1.001 12000
p[49,2]    0.078   0.039   0.022   0.049   0.072   0.101   0.169 1.001  6000
p[50,2]    0.155   0.060   0.053   0.110   0.151   0.197   0.281 1.001  4700
p[51,2]    0.198   0.074   0.068   0.143   0.193   0.249   0.352 1.001  9400
p[52,2]    0.215   0.081   0.074   0.155   0.210   0.271   0.384 1.001  8300
p[53,2]    0.201   0.076   0.068   0.144   0.196   0.253   0.357 1.001  7900
p[54,2]    0.100   0.040   0.038   0.070   0.094   0.123   0.195 1.001 12000
p[55,2]    0.186   0.053   0.091   0.147   0.183   0.222   0.295 1.001 12000
p[56,2]    0.242   0.069   0.120   0.191   0.237   0.287   0.387 1.001 12000
p[57,2]    0.118   0.043   0.051   0.087   0.112   0.144   0.216 1.001  4900
p[58,2]    0.218   0.059   0.115   0.175   0.214   0.258   0.341 1.001  4700
p[59,2]    0.269   0.064   0.152   0.223   0.266   0.314   0.394 1.001  6000
p[60,2]    0.275   0.061   0.160   0.230   0.273   0.318   0.392 1.001  8500
p[61,2]    0.125   0.041   0.059   0.095   0.121   0.150   0.216 1.001  4500
p[62,2]    0.229   0.047   0.138   0.196   0.230   0.264   0.315 1.001  6800
p[63,2]    0.260   0.050   0.160   0.224   0.261   0.298   0.347 1.001  7000
p[64,2]    0.129   0.040   0.062   0.100   0.126   0.154   0.217 1.001  5500
p[65,2]    0.263   0.055   0.152   0.223   0.266   0.306   0.357 1.002  2700
p[66,2]    0.319   0.061   0.194   0.276   0.323   0.366   0.424 1.001  4100
p[67,2]    0.150   0.044   0.073   0.118   0.147   0.179   0.244 1.002  3100
p[68,2]    0.268   0.046   0.171   0.237   0.272   0.301   0.349 1.001  4400
p[69,2]    0.330   0.057   0.207   0.291   0.337   0.374   0.419 1.002  2400
p[70,2]    0.337   0.054   0.219   0.300   0.345   0.379   0.421 1.002  2400
p[71,2]    0.361   0.067   0.221   0.313   0.369   0.413   0.469 1.002  1800
p[72,2]    0.393   0.075   0.240   0.343   0.397   0.444   0.536 1.002  2000
p[73,2]    0.388   0.071   0.246   0.341   0.391   0.434   0.527 1.002  2300
p[74,2]    0.170   0.048   0.085   0.136   0.167   0.201   0.270 1.002  2400
p[75,2]    0.296   0.048   0.187   0.267   0.302   0.330   0.374 1.001  4500
p[76,2]    0.370   0.062   0.231   0.331   0.382   0.417   0.461 1.002  2300
