win,frames_before_decks,dur_measured_decks,onset_win,deck_select,init_mark,t_moves,t_select,ID,onset_decks,dur_decks,loss,exp_type,total,session,frames_after_decks,no,condition,offset_decks,rt_select,offset_win,dur_win,n_moves
50,48,,50.668939000001046,4,0,"[48.68511180000132, 49.15190369999982, 49.73554370000056]",50.06897890000073,,48.27766990000055,600,0,"['fMRI', 'EEG', 'MEG']",250,1,72,13,iowa_exp,,1.791309000000183,,240,3
50,48,,54.32868140000028,4,2,[53.41194440000072],53.72868240000025,,53.07126800000151,600,0,"['fMRI', 'EEG', 'MEG']",300,1,72,14,iowa_exp,,0.6574143999987427,,240,1
50,48,,59.05557050000061,4,0,"[57.20710430000145, 57.655252100001235, 58.097069600000395]",58.455547800000204,,56.772626600000876,600,0,"['fMRI', 'EEG', 'MEG']",350,1,72,15,iowa_exp,,1.6829211999993277,,240,3
50,48,,62.79868680000072,3,2,[],62.19876579999982,,61.466113000000405,600,-50,"['fMRI', 'EEG', 'MEG']",350,1,72,16,iowa_exp,,0.7326527999994141,,240,0
50,48,,66.82524730000114,4,1,"[65.55838870000116, 65.92517630000111]",66.22528779999993,,65.2342905000005,600,0,"['fMRI', 'EEG', 'MEG']",400,1,72,17,iowa_exp,,0.9909972999994352,,240,2
50,48,,70.75176910000118,4,2,[69.66005270000096],70.15184170000066,,69.22745010000108,600,0,"['fMRI', 'EEG', 'MEG']",450,1,72,18,iowa_exp,,0.9243915999995806,,240,1
50,48,,75.0117621999998,3,0,"[73.57860249999976, 73.82914680000067]",74.41180630000053,,73.17898659999992,600,0,"['fMRI', 'EEG', 'MEG']",500,1,72,19,iowa_exp,,1.2328197000006185,,240,2
50,48,,78.84661640000013,3,0,"[77.73800010000014, 77.98814210000091]",78.246638300001,,77.43897389999984,600,-50,"['fMRI', 'EEG', 'MEG']",500,1,72,20,iowa_exp,,0.8076644000011584,,240,2
50,48,,82.67309209999985,4,2,[81.81469430000107],82.07324430000153,,81.29051780000009,600,0,"['fMRI', 'EEG', 'MEG']",550,1,72,21,iowa_exp,,0.782726500001445,,240,1
50,48,,86.39122660000066,4,3,[],85.79120010000042,,85.10028930000044,600,-250,"['fMRI', 'EEG', 'MEG']",350,1,72,22,iowa_exp,,0.6909107999999833,,240,0
100,48,,90.80958050000118,1,2,"[89.61820290000105, 89.91780310000104]",90.20955120000144,,88.83518499999991,600,-250,"['fMRI', 'EEG', 'MEG']",200,1,72,23,iowa_exp,,1.374366200001532,,240,2
100,48,,95.24463660000038,2,2,"[93.80264780000107, 94.08657570000105, 94.37790769999992]",94.64471380000032,,93.27861160000066,600,0,"['fMRI', 'EEG', 'MEG']",300,1,72,24,iowa_exp,,1.3661021999996592,,240,3
50,48,,99.23790569999983,4,1,"[98.03769120000106, 98.34619380000004]",98.63813360000131,,97.67197540000052,600,0,"['fMRI', 'EEG', 'MEG']",350,1,72,25,iowa_exp,,0.9661582000007911,,240,2
50,48,,102.83093720000033,3,2,[],102.23171730000104,,101.66512440000042,600,-50,"['fMRI', 'EEG', 'MEG']",350,1,72,26,iowa_exp,,0.5665929000006145,,240,0
50,48,,107.06594310000037,4,0,"[105.64896140000019, 105.91570420000062, 106.15753340000083]",106.46594560000085,,105.26661830000012,600,0,"['fMRI', 'EEG', 'MEG']",400,1,72,27,iowa_exp,,1.199327300000732,,240,3
50,48,,111.45931960000053,4,0,"[109.89267760000075, 110.15905780000139, 110.54274280000027]",110.85933230000046,,109.46814240000094,600,0,"['fMRI', 'EEG', 'MEG']",450,1,72,28,iowa_exp,,1.3911898999995174,,240,3
50,48,,115.54428280000138,4,0,"[114.26896880000095, 114.50237790000028, 114.7194713000008]",114.94422400000076,,113.86156780000056,600,0,"['fMRI', 'EEG', 'MEG']",500,1,72,29,iowa_exp,,1.0826562000002014,,240,3
50,48,,119.8126013000001,4,0,"[118.36316310000075, 118.59571719999985, 118.8124585000005]",119.21320430000014,,118.00476119999985,600,0,"['fMRI', 'EEG', 'MEG']",550,1,72,30,iowa_exp,,1.208443100000295,,240,3
50,48,,123.87248180000097,4,0,"[122.5983150000011, 122.84732369999983, 123.064135300001]",123.27258640000036,,122.23144180000054,600,0,"['fMRI', 'EEG', 'MEG']",600,1,72,31,iowa_exp,,1.041144599999825,,240,3
50,48,,127.45724549999977,4,3,[],126.85855700000138,,126.33307659999991,600,0,"['fMRI', 'EEG', 'MEG']",650,1,72,32,iowa_exp,,0.5254804000014701,,240,0
50,48,,130.94188600000052,4,3,[],130.34190920000037,,129.86777500000062,600,0,"['fMRI', 'EEG', 'MEG']",700,1,72,33,iowa_exp,,0.47413419999975304,,240,0
50,48,,134.40161380000063,4,3,[],133.80205110000134,,133.36084520000077,600,0,"['fMRI', 'EEG', 'MEG']",750,1,72,34,iowa_exp,,0.44120590000056836,,240,0
50,48,,137.94466450000073,4,3,[],137.3377246,,136.83726399999978,600,0,"['fMRI', 'EEG', 'MEG']",800,1,72,35,iowa_exp,,0.5004606000002241,,240,0
50,48,,141.80447620000086,4,2,[140.91264620000038],141.20457460000034,,140.3885575000004,600,0,"['fMRI', 'EEG', 'MEG']",850,1,72,36,iowa_exp,,0.8160170999999536,,240,1
50,48,,145.5225921000001,4,2,[144.6478244000009],144.92309540000133,,144.21509550000155,600,-250,"['fMRI', 'EEG', 'MEG']",650,1,72,37,iowa_exp,,0.707999899999777,,240,1
50,48,,149.20734690000063,4,2,[148.3573077000001],148.6073565000006,,147.9498390000008,600,0,"['fMRI', 'EEG', 'MEG']",700,1,72,38,iowa_exp,,0.6575174999998126,,240,1
50,48,,153.70079410000108,4,0,"[152.08374330000152, 152.31731300000138, 152.85062110000035]",153.10080759999983,,151.63472379999985,600,0,"['fMRI', 'EEG', 'MEG']",750,1,72,39,iowa_exp,,1.4660837999999785,,240,3
50,48,,157.4272578,4,2,[156.5520833999999],156.82727380000142,,156.16981450000094,600,0,"['fMRI', 'EEG', 'MEG']",800,1,72,40,iowa_exp,,0.6574593000004825,,240,1
