"gain" "loss" "deck" "trial" "subjID"
100 0 2 61 140
100 0 2 62 140
100 0 2 63 140
100 0 2 64 140
100 -1250 2 65 140
100 0 2 66 140
100 0 2 67 140
100 0 2 68 140
100 0 2 69 140
100 0 2 70 140
50 0 4 71 140
100 0 1 72 140
100 -250 1 73 140
100 0 1 74 140
100 -250 1 75 140
50 0 3 76 140
50 0 3 77 140
100 0 2 78 140
100 -250 1 79 140
100 0 2 80 140
100 0 2 81 140
100 0 2 82 140
100 0 1 83 140
100 0 1 84 140
100 0 1 85 140
100 -250 1 86 140
50 -50 3 87 140
50 0 3 88 140
50 -50 3 89 140
50 0 3 90 140
50 -50 3 91 140
50 0 3 92 140
50 -50 3 93 140
50 0 4 94 140
50 0 4 95 140
50 -50 3 96 140
50 -50 3 97 140
50 -50 3 98 140
50 0 3 99 140
50 0 3 100 140
100 -250 1 1 141
100 0 2 2 141
50 0 3 3 141
50 0 4 4 141
100 0 2 5 141
100 0 2 6 141
100 0 2 7 141
100 0 2 8 141
100 0 2 9 141
100 -1250 2 10 141
50 -50 3 11 141
50 0 4 12 141
50 -250 4 13 141
100 -250 1 14 141
50 0 3 15 141
50 -50 3 16 141
100 0 2 17 141
100 0 2 18 141
50 -50 3 19 141
50 0 3 20 141
100 0 2 21 141
100 0 2 22 141
100 0 2 23 141
50 0 4 24 141
100 0 2 25 141
50 0 4 26 141
50 0 4 27 141
100 0 2 28 141
50 0 4 29 141
50 0 4 30 141
100 -1250 2 31 141
50 0 4 32 141
50 0 4 33 141
50 -250 4 34 141
50 0 3 35 141
50 0 4 36 141
50 0 3 37 141
50 0 4 38 141
50 0 4 39 141
50 -50 3 40 141
100 0 1 41 141
100 0 2 42 141
50 0 3 43 141
50 0 4 44 141
50 -50 3 45 141
50 0 4 46 141
50 -50 3 47 141
50 0 4 48 141
50 0 3 49 141
50 0 4 50 141
50 0 3 51 141
50 0 4 52 141
50 -50 3 53 141
50 0 4 54 141
50 0 3 55 141
50 0 4 56 141
50 -50 3 57 141
50 0 4 58 141
50 0 3 59 141
50 -250 4 60 141
50 -50 3 61 141
50 0 4 62 141
50 0 3 63 141
50 0 4 64 141
50 -50 3 65 141
50 0 4 66 141
50 -50 3 67 141
50 0 4 68 141
50 -50 3 69 141
50 -50 3 70 141
50 0 3 71 141
50 0 3 72 141
50 0 3 73 141
50 -50 3 74 141
50 0 3 75 141
50 0 3 76 141
50 -50 3 77 141
50 0 3 78 141
50 0 3 79 141
50 -50 3 80 141
50 0 3 81 141
50 0 3 82 141
50 -50 3 83 141
50 -50 3 84 141
50 -50 3 85 141
50 0 3 86 141
50 0 3 87 141
50 -50 3 88 141
50 -50 3 89 141
50 0 3 90 141
50 0 3 91 141
50 -50 3 92 141
50 0 3 93 141
50 -50 3 94 141
50 -50 3 95 141
50 0 4 96 141
50 0 3 97 141
50 0 3 98 141
50 -50 3 99 141
50 0 3 100 141
100 -250 1 1 142
100 0 2 2 142
50 0 3 3 142
50 0 4 4 142
100 0 2 5 142
100 0 2 6 142
100 0 2 7 142
100 0 2 8 142
50 -50 3 9 142
100 0 2 10 142
50 0 4 11 142
100 -1250 2 12 142
50 0 3 13 142
50 -50 3 14 142
50 0 4 15 142
50 0 4 16 142
50 0 4 17 142
50 0 4 18 142
50 0 4 19 142
100 0 2 20 142
100 0 2 21 142
100 0 2 22 142
100 0 2 23 142
50 -250 4 24 142
100 0 2 25 142
100 0 2 26 142
100 0 2 27 142
100 -1250 2 28 142
50 0 4 29 142
50 0 4 30 142
50 0 4 31 142
50 0 4 32 142
50 0 4 33 142
100 0 2 34 142
100 0 2 35 142
100 0 2 36 142
100 0 2 37 142
100 0 2 38 142
100 -250 1 39 142
100 0 2 40 142
100 0 1 41 142
100 0 1 42 142
100 0 1 43 142
100 -250 1 44 142
50 -50 3 45 142
100 0 1 46 142
100 0 1 47 142
100 -250 1 48 142
100 0 2 49 142
100 0 2 50 142
100 0 2 51 142
100 0 1 52 142
100 -1250 2 53 142
100 0 1 54 142
100 0 1 55 142
50 0 4 56 142
100 -250 1 57 142
100 0 2 58 142
100 0 2 59 142
50 0 4 60 142
100 0 1 61 142
100 0 2 62 142
50 0 4 63 142
100 0 2 64 142
100 -250 1 65 142
100 0 2 66 142
50 0 4 67 142
100 0 2 68 142
100 -250 1 69 142
100 0 2 70 142
50 0 4 71 142
100 0 2 72 142
50 0 4 73 142
100 0 2 74 142
50 -250 4 75 142
100 0 2 76 142
50 0 4 77 142
50 0 3 78 142
50 0 4 79 142
100 -250 1 80 142
100 0 1 81 142
100 0 2 82 142
50 0 3 83 142
50 0 4 84 142
50 0 4 85 142
50 0 3 86 142
100 0 2 87 142
50 -50 3 88 142
100 -1250 2 89 142
100 -250 1 90 142
50 0 3 91 142
50 0 4 92 142
100 0 1 93 142
100 -250 1 94 142
100 0 2 95 142
50 -50 3 96 142
50 0 4 97 142
100 0 2 98 142
