onset_decks,dur_decks,frames_after_decks,deck_select,t_moves,rt_select,dur_win,offset_win,condition,init_mark,ID,dur_measured_decks,loss,offset_decks,session,exp_type,t_select,frames_before_decks,total,n_moves,win,no,onset_win
301.045995799941,300,150,1,[],1.2154433999676257,120,,iowa_exp,0,142,,0,,2,fMRI,302.26143919990864,330,-100,0,100,21,308.5448643999407
316.0466105999658,300,150,2,[316.6454902999103],1.1824655999662355,120,,iowa_exp,0,142,,0,,2,fMRI,317.229076199932,330,0,1,100,22,323.5456130999373
331.04737209994346,300,150,4,"[331.69613149994984, 332.1965856999159]",1.6989319999702275,120,,iowa_exp,1,142,,0,,2,fMRI,332.7463040999137,330,50,2,50,23,338.54628179990686
346.06475389993284,300,150,2,"[346.8136403999524, 347.24693109991495]",1.632196299964562,120,,iowa_exp,3,142,,0,,2,fMRI,347.6969501998974,330,150,2,100,24,353.5636458999943
361.06547339993995,300,150,1,"[361.59766390000004, 361.9809726999374, 362.4141837999923]",1.7654544999822974,120,,iowa_exp,1,142,,-250,,2,fMRI,362.83092789992224,330,0,3,100,25,368.5643542999169
376.06615509989206,300,150,2,[376.8316526999697],1.3165224000113085,120,,iowa_exp,0,142,,0,,2,fMRI,377.38267749990337,330,100,1,100,26,383.56505629990716
391.0668558999896,300,150,4,"[392.2657501999056, 392.64910929999314, 393.04914249992]",2.4156085998984054,120,,iowa_exp,0,142,,0,,2,fMRI,393.482464499888,330,150,3,50,27,398.5657930999296
406.0674830999924,300,150,2,[],1.1156185999279842,120,,iowa_exp,1,142,,0,,2,fMRI,407.18310169992037,330,250,0,100,28,413.5666051999433
421.06833699997514,300,150,1,"[421.8504780998919, 422.23381309991237, 422.60044279997237]",1.9155634000198916,120,,iowa_exp,1,142,,-250,,2,fMRI,422.98390039999504,330,100,3,100,29,428.5671975999139
436.06900399993174,300,150,2,"[437.05122839997057, 437.4012040999951]",1.6822296000318602,120,,iowa_exp,3,142,,0,,2,fMRI,437.7512335999636,330,200,2,100,30,443.56794449989684
451.06964849994984,300,150,4,[],1.1321722000138834,120,,iowa_exp,3,142,,0,,2,fMRI,452.2018206999637,330,250,0,50,31,458.5686177999014
466.070474899956,300,150,2,[],1.1488025999860838,120,,iowa_exp,1,142,,0,,2,fMRI,467.2192774999421,330,350,0,100,32,473.56929579994176
481.0711331999628,300,150,4,"[481.7031991999829, 482.0700003999518]",1.4822026999900118,120,,iowa_exp,1,142,,0,,2,fMRI,482.5533358999528,330,400,2,50,33,488.57005849992856
496.07184709992725,300,150,2,[497.8707842999138],2.4655281000304967,120,,iowa_exp,0,142,,0,,2,fMRI,498.53737519995775,330,500,1,100,34,503.57078059995547
511.0725019999081,300,150,4,"[512.30481589993, 512.78818579996]",2.4323478000005707,120,,iowa_exp,1,142,,-250,,2,fMRI,513.5048497999087,330,300,2,50,35,518.5714847999625
526.0732438999694,300,150,2,[527.0391582999146],1.5322830999502912,120,,iowa_exp,0,142,,0,,2,fMRI,527.6055269999197,330,400,1,100,36,533.5721394999418
541.0738927999046,300,150,4,[541.622823499958],0.9822439000708982,120,,iowa_exp,2,142,,0,,2,fMRI,542.0561366999755,330,450,1,50,37,548.5728859999217
556.0746770999394,300,150,3,[556.6902351999888],1.065435600001365,120,,iowa_exp,1,142,,0,,2,fMRI,557.1401126999408,330,500,1,50,38,563.5735496999696
571.0753875999944,300,150,,"[572.3409474999644, 574.4410620999988, 575.641091599944]",,120,,iowa_exp,3,142,,0,,2,fMRI,,330,550,3,50,39,578.574310899945
586.0760705999564,300,150,1,"[586.9081957999151, 587.2259350999957, 587.574872899917, 588.8083085999824, 590.4084103999194]",-9.801364099956118,120,,iowa_exp,0,142,,-250,,2,fMRI,576.2747065000003,330,400,0,100,40,593.5750261999201
